month,value,average,long
Mar-96,330714,82679,10.7
Apr-96,1370561,45685,10.7
May-96,1216399,39239,10.7
Jun-96,956596,31887,10.7
Jul-96,1102603,35568,10.7
Aug-96,1296025,41807,10.7
Sep-96,1113494,37116,10.7
Oct-96,1256923,40546,10.7
Nov-96,1211712,40390,10.7
Dec-96,1319332,42559,10.7
Jan-97,1242472,40080,10.7
Feb-97,1172552,41877,10.7
Mar-97,1337029,43130,31.7
Apr-97,2238747,74625,31.7
May-97,2741930,88449,31.7
Jun-97,2672635,89088,31.7
Jul-97,3158423,101885,31.7
Aug-97,2928078,94454,31.7
Sep-97,3016479,100549,31.7
Oct-97,3501311,112946,31.7
Nov-97,3306344,110211,31.7
Dec-97,3765395,121464,32.4
Jan-98,3823272,123337,32.4
Feb-98,4091078,140110,32.4
Mar-98,4807209,155071,32.4
Apr-98,4812240,160408,32.4
May-98,4933190,159135,32.4
Jun-98,4572868,152429,32.4
Jul-98,4907065,158292,32.4
Aug-98,5182575,167180,32.4
Sep-98,5130292,171010,32.4
Oct-98,5305882,171157,32.4
Nov-98,5848865,194962,32.4
Dec-98,7323246,236234,48.7
Jan-99,8822559,284599,48.7
Feb-99,7927522,283126,48.7
Mar-99,10118012,326387,48.7
Apr-99,9565661,318855,48.7
May-99,9842305,317494,48.7
Jun-99,9170981,305699,48.7
Jul-99,10315019,332743,48.7
Aug-99,10792265,348138,48.7
Sep-99,9899623,329987,48.7
Oct-99,11069573,357083,48.7
Nov-99,12954558,431819,58
Dec-99,16474044,531421,65.6
Jan-00,19119125,616746,65.6
Feb-00,20134936,694308,65.6
Mar-00,21544104,694971,65.6
Apr-00,20516356,683879,65.6
May-00,21426187,691167,65.6
Jun-00,20347558,678252,65.6
Jul-00,22614695,729506,65.6
Aug-00,22459295,724493,71.1
Sep-00,23841922,794731,71.1
Oct-00,24862127,802004,71.1
Nov-00,24337959,811265,71.1
Dec-00,27512476,887499,74.3
Jan-01,24367635,786053,74.3
Feb-01,26674023,952644,74.3
Mar-01,27686991,893129,74.3
Apr-01,26165096,872170,74.3
May-01,27069704,873216,74.3
Jun-01,25896546,863218,74.3
Jul-01,27572474,889435,74.3
Aug-01,28878337,931559,74.3
Sep-01,16276009,542534,74.3
Oct-01,15110775,487444,74.3
Nov-01,18647082,621569,74.3
Dec-01,25298042,816066,74.3
Jan-02,25603402,825916,74.3
Feb-02,23473254,838331,74.3
Mar-02,27118827,874801,74.3
Apr-02,25768631,858954,74.3
May-02,27019953,871611,74.3
Jun-02,25533309,851110,74.3
Jul-02,27890392,899690,74.3
Aug-02,28352991,914613,74.3
Sep-02,25747115,858237,74.3
Oct-02,28684322,925301,74.3
Nov-02,28724883,957496,74.3
Dec-02,30516478,984403,74.3
Jan-03,28014216,903684,74.3
Feb-03,26241269,937188,74.3
Mar-03,29040656,936795,74.3
Apr-03,25791169,859706,74.3
May-03,18647030,601517,74.3
Jun-03,20713548,690452,74.3
Jul-03,26104763,842089,74.3
Aug-03,26946918,869255,74.3
Sep-03,26920391,897346,74.3
Oct-03,29090570,938405,74.3
Nov-03,28189502,939650,74.3
Dec-03,30489096,983519,74.3
Jan-04,26615701,858571,74.3
Feb-04,28581061,985554,74.3
Mar-04,30223485,974951,74.3
Apr-04,28547591,951586,74.3
May-04,29122328,939430,74.3
Jun-04,27682149,922738,74.3
Jul-04,30233548,975276,74.3
Aug-04,28219215,910297,74.3
Sep-04,28609682,953656,76.2
Oct-04,30245644,975666,76.2
Nov-04,30124807,1004160,76.2
Dec-04,31936745,1030218,76.2
Jan-05,29811881,961674,76.2
Feb-05,25879279,924260,76.2
Mar-05,31866866,1027963,76.2
Apr-05,29576241,985875,76.2
May-05,30251626,975859,76.2
Jun-05,29029861,967662,76.2
Jul-05,30011759,968121,76.2
Aug-05,30343866,978834,76.2
Sep-05,29408909,980297,76.2
Oct-05,30689307,989978,76.2
Nov-05,30604448,1020148,76.2
Dec-05,33255760,1072766,76.2
Jan-06,29452611,950084,76.2
Feb-06,28772163,1027577,76.2
Mar-06,31936004,1030194,76.2
Apr-06,29566184,985539,76.2
May-06,30871353,995850,83.6
Jun-06,31493316,1049777,83.6
Jul-06,32933003,1062355,83.6
Aug-06,33606001,1084065,83.6
Sep-06,33070809,1102360,83.6
Oct-06,33232773,1072025,83.6
Nov-06,33331291,1111043,83.6
Dec-06,35737712,1152829,83.6
Jan-07,34293670,1106247,83.6
Feb-07,29436141,1051291,83.6
Mar-07,36155960,1166321,83.6
Apr-07,33430442,1114348,83.6
May-07,34924960,1126612,83.6
Jun-07,32984025,1099468,83.6
Jul-07,35816762,1155379,83.6
Aug-07,34828039,1123485,83.6
Sep-07,33010544,1100351,83.6
Oct-07,35679396,1150948,83.6
Nov-07,36441830,1214728,83.6
Dec-07,39227916,1265417,83.6
Jan-08,36825587,1187922,83.6
Feb-08,33223866,1145651,83.6
Mar-08,38432595,1239761,83.6
Apr-08,36472089,1215736,83.6
May-08,38096236,1228911,83.6
Jun-08,36551844,1218395,83.6
Jul-08,38641308,1246494,83.6
Aug-08,39806858,1284092,83.6
Sep-08,34944963,1164832,83.6
Oct-08,39569451,1276434,83.6
Nov-08,37509706,1250324,83.6
Dec-08,39949912,1288707,85
Jan-09,34771207,1121652,85
Feb-09,36236921,1294176,85
Mar-09,38808194,1251877,85
Apr-09,37410418,1247014,85
May-09,37753738,1217863,85
Jun-09,36551854,1218395,85
Jul-09,41123297,1326558,99.7
Aug-09,37895799,1222445,99.7
Sep-09,38229962,1274332,99.7
Oct-09,40426260,1304073,99.7
Nov-09,39548647,1318288,99.7
Dec-09,43716054,1410195,99.7
Jan-10,40916463,1319886,99.7
Feb-10,34838161,1244220,99.7
