month,value
Mar-96,330714
Apr-96,1370561
May-96,1216399
Jun-96,956596
Jul-96,1102603
Aug-96,1296025
Sep-96,1113494
Oct-96,1256923
Nov-96,1211712
Dec-96,1319332
Jan-97,1242472
Feb-97,1172552
Mar-97,1337029
Apr-97,2238747
May-97,2741930
Jun-97,2672635
Jul-97,3158423
Aug-97,2928078
Sep-97,3016479
Oct-97,3501311
Nov-97,3306344
Dec-97,3765395
Jan-98,3823272
Feb-98,4091078
Mar-98,4807209
Apr-98,4812240
May-98,4933190
Jun-98,4572868
Jul-98,4907065
Aug-98,5182575
Sep-98,5130292
Oct-98,5305882
Nov-98,5848865
Dec-98,7323246
Jan-99,8822559
Feb-99,7927522
Mar-99,10118012
Apr-99,9565661
May-99,9842305
Jun-99,9170981
Jul-99,10315019
Aug-99,10792265
Sep-99,9899623
Oct-99,11069573
Nov-99,12954558
Dec-99,16474044
Jan-00,19119125
Feb-00,20134936
Mar-00,21544104
Apr-00,20516356
May-00,21426187
Jun-00,20347558
Jul-00,22614695
Aug-00,22459295
Sep-00,23841922
Oct-00,24862127
Nov-00,24337959
Dec-00,27512476
1-Jan,24367635
1-Feb,26674023
1-Mar,27686991
1-Apr,26165096
1-May,27069704
1-Jun,25896546
1-Jul,27572474
1-Aug,28878337
1-Sep,16276009
1-Oct,15110775
1-Nov,18647082
1-Dec,25298042
2-Jan,25603402
2-Feb,23473254
2-Mar,27118827
2-Apr,25768631
2-May,27019953
2-Jun,25533309
2-Jul,27890392
2-Aug,28352991
2-Sep,25747115
2-Oct,28684322
2-Nov,28724883
2-Dec,30516478
3-Jan,28014216
3-Feb,26241269
3-Mar,29040656
3-Apr,25791169
3-May,18647030
3-Jun,20713548
3-Jul,26104763
3-Aug,26946918
3-Sep,26920391
3-Oct,29090570
3-Nov,28189502
3-Dec,30489096
4-Jan,26615701
4-Feb,28581061
4-Mar,30223485
4-Apr,28547591
4-May,29122328
4-Jun,27682149
4-Jul,30233548
4-Aug,28219215
4-Sep,28609682
4-Oct,30245644
4-Nov,30124807
4-Dec,31936745
5-Jan,29811881
5-Feb,25879279
5-Mar,31866866
5-Apr,29576241
5-May,30251626
5-Jun,29029861
5-Jul,30011759
5-Aug,30343866
5-Sep,29408909
5-Oct,30689307
5-Nov,30604448
5-Dec,33255760
6-Jan,29452611
6-Feb,28772163
6-Mar,31936004
6-Apr,29566184
6-May,30871353
6-Jun,31493316
6-Jul,32933003
6-Aug,33606001
6-Sep,33070809
6-Oct,33232773
6-Nov,33331291
6-Dec,35737712
7-Jan,34293670
7-Feb,29436141
7-Mar,36155960
7-Apr,33430442
7-May,34924960
7-Jun,32984025
7-Jul,35816762
7-Aug,34828039
7-Sep,33010544
7-Oct,35679396
7-Nov,36441830
7-Dec,39227916
8-Jan,36825587
8-Feb,33223866
8-Mar,38432595
8-Apr,36472089
8-May,38096236
8-Jun,36551844
8-Jul,38641308
8-Aug,39806858
8-Sep,34944963
8-Oct,39569451
8-Nov,37509706
8-Dec,39949912
9-Jan,34771207
9-Feb,36236921
9-Mar,38808194
9-Apr,37410418
9-May,37753738
9-Jun,36551854
9-Jul,41123297
9-Aug,37895799
9-Sep,38229962
9-Oct,40426260
9-Nov,39548647
9-Dec,43716054
10-Jan,40916463
10-Feb,34838161
10-Mar,42790249
10-Apr,40251854
10-May,41473930
10-Jun,39479910
10-Jul,42491066
10-Aug,42042218
10-Sep,39760508
10-Oct,43727622
10-Nov,47277592
10-Dec,50416877
11-Jan,46769306
11-Feb,42217591
11-Mar,48818361
11-Apr,47205199
11-May,46653336
11-Jun,44438781
11-Jul,48204332
11-Aug,47806171
11-Sep,46440216
11-Oct,48612662
11-Nov,47637209
11-Dec,51601325
12-Jan,46910524
12-Feb,48222267
12-Mar,51761349
12-Apr,48278769
12-May,50131129
12-Jun,47661008
12-Jul,50456552
12-Aug,49651320
12-Sep,48795624
12-Oct,53218414
12-Nov,51654227
12-Dec,55458159
13-Jan,52749452
13-Feb,45786691
13-Mar,54349272
13-Apr,50269978
13-May,53058455
13-Jun,50466513
13-Jul,52949777
13-Aug,52984136
13-Sep,50471993
13-Oct,54652173
13-Nov,55447598
13-Dec,61775045
14-Jan,55842595
14-Feb,52200340
14-Mar,59584296
14-Apr,55365751
14-May,56671844
14-Jun,52928720
14-Jul,55610445
14-Aug,56508518
14-Sep,53588179
14-Oct,57923300
14-Nov,58232217
14-Dec,65050196
15-Jan,59691839
15-Feb,52532633
15-Mar,62848327
15-Apr,58332655
15-May,60761657
15-Jun,57568402
15-Jul,59994731
15-Aug,58896058
15-Sep,57138189
15-Oct,62296159
15-Nov,60909070
15-Dec,66542089
16-Jan,62491126
16-Feb,55880942
16-Mar,65094282
16-Apr,59818335
16-May,62641349
16-Jun,58943413
16-Jul,60814153
16-Aug,63103402
16-Sep,56229449
16-Oct,62802378
16-Nov,62796023
16-Dec,69375314
17-Jan,60035066
17-Feb,57307769
